Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2021-03-01,"1,661",0,0,0,"1,440",0,0,0,0
2021-03-02,"1,680",277,0.2,0,"1,430",10,0,0,36
2021-03-03,"1,668",94,0.07,0,"1,434",6,0,0,19
2021-03-04,"1,672",169,0.12,0,"1,433",7,0,0,25
2021-03-05,"1,670",151,0.11,0,"1,434",6,0,0,21
2021-03-06,"1,776","1,518",1.72,0,"1,426",14,0,0,136
2021-03-07,"1,695",456,0.37,0,"1,426",14,0,0,55
2021-03-08,"1,690",436,0.44,0,"1,432",8,0,0,44
2021-03-09,"1,718",726,0.8,0,"1,427",13,0,0,77
2021-03-10,"1,704",592,0.58,0,"1,427",13,0,0,64
2021-03-11,"1,694",446,0.39,0,"1,428",12,0,0,52
2021-03-12,"1,689",424,0.36,0,"1,430",10,0,0,45
2021-03-13,"1,685",317,0.3,0,"1,431",9,0,0,39
2021-03-14,"1,683",341,0.25,0,"1,430",10,0,0,39
2021-03-15,"1,684",341,0.25,0,"1,429",11,0,0,41
2021-03-16,"1,672",160,0.12,0,"1,433",7,0,0,24
2021-03-17,"1,693",428,0.38,0,"1,428",12,0,0,51
2021-03-18,"1,616",163,0.12,0,"1,389",5,0,0,19
